PointInTimeDt,Pos #,FTE,ClsInd,JobCd,Job Title,Union,Dept ID,Department,Dept,DeptType,Network,Network2,Zipcode,Type,Special Ed,Bilingual,Science,Math,Arts,Early Childhood,Physical Ed,Counselor,Clinician,Library,World Language,JobProfileDesc
8/21/2024,515026,1,Tchr,500629,Special Education Teacher,CTU,25231,Sidney Sawyer School,Sawyer,School-Based,Network 08,Network 08,60632,Spec Ed,Spec Ed,,,,,,,,,,,4-5 SPED LBS
8/21/2024,620379,1,ESP,505051,Restorative Justice Coord,CTU,25241,Jonathan Y Scammon School,Scammon,School-Based,Network 01,Network 01,60641,,,,,,,,,,,,,
8/21/2024,609049,0.5,Tchr,600063,Case Manager,CTU,25241,Jonathan Y Scammon School,Scammon,School-Based,Network 01,Network 01,60641,,,,,,,,,,,,,
8/21/2024,484810,1,Tchr,49,Regular Teacher,CTU,25241,Jonathan Y Scammon School,Scammon,School-Based,Network 01,Network 01,60641,,,,,,,,,,,,,6-8 REG English/LA
8/21/2024,620225,1,Tchr,990101,School Counselor,CTU,25291,Franz Peter Schubert School,Schubert,School-Based,Network 03,Network 03,60639,Counselor,,,,,,,,Counselor,,,,Professional School Counselor
8/21/2024,653370,0.5,Tchr,500629,Special Education Teacher,CTU,25291,Franz Peter Schubert School,Schubert,School-Based,Network 03,Network 03,60639,Spec Ed,Spec Ed,,,,,,,,,,,Case Managers
8/21/2024,612658,1,Tchr,600755,Lead Coach,CTU,25301,William H Seward Com Arts Acad,Seward,School-Based,Network 08,Network 08,60609,,,,,,,,,,,,,
8/21/2024,620948,1,Tchr,500629,Special Education Teacher,CTU,25301,William H Seward Com Arts Acad,Seward,School-Based,Network 08,Network 08,60609,Spec Ed,Spec Ed,,,,,,,,,,,4-5 SPED LBS
8/21/2024,619538,1,Tchr,49,Regular Teacher,CTU,25301,William H Seward Com Arts Acad,Seward,School-Based,Network 08,Network 08,60609,WorldLang,,,,,,,,,,,WorldLang,6-8 REG Foreign Language
8/21/2024,620918,1,Tchr,500629,Special Education Teacher,CTU,25301,William H Seward Com Arts Acad,Seward,School-Based,Network 08,Network 08,60609,Spec Ed,Spec Ed,,,,,,,,,,,4-5 SPED LBS
